document,page,country,iso3,frequency
OCR-D8980990.json,7,China,CHN,1
OCR-D8980990.json,7,South Korea,,1
OCR-D8980990.json,8,India,IND,1
OCR-D8980990.json,8,China,CHN,1
OCR-D8980990.json,9,Philippines,PHL,1
OCR-D8980990.json,9,Greenland,GRL,1
OCR-D8980990.json,9,Greece,GRC,1
OCR-D8980990.json,9,France,FRA,1
OCR-D8980990.json,10,China,CHN,1
OCR-D8980990.json,11,Taiwan,,1
OCR-D8980990.json,11,China,CHN,1
OCR-D8980990.json,13,China,CHN,1
OCR-D8980990.json,14,Taiwan,,1
OCR-D8980990.json,14,China,CHN,1
OCR-D8980990.json,15,China,CHN,1
OCR-D8980990.json,15,India,IND,1
OCR-D8980990.json,15,South Korea,,1
OCR-D8980990.json,16,Greenland,GRL,1
OCR-D8980990.json,16,South Korea,,1
OCR-D8980990.json,16,China,CHN,1
OCR-D8980990.json,17,China,CHN,1
OCR-D8980990.json,18,India,IND,1
OCR-D8980990.json,18,China,CHN,1
OCR-D437919.json,6,Soviet Union (former),,1
OCR-D437919.json,8,Moldova,,1
OCR-D437919.json,8,Armenia,ARM,1
OCR-D437919.json,8,Croatia,HRV,1
OCR-D437919.json,8,Kyrgyzstan,KGZ,1
OCR-D437919.json,8,Ukraine,UKR,1
OCR-D437919.json,8,Romania,ROU,1
OCR-D437919.json,8,Georgia,GEO,1
OCR-D437919.json,8,Hungary,HUN,1
OCR-D437919.json,8,Czechia,CZE,1
OCR-D437919.json,8,Uzbekistan,UZB,1
OCR-D437919.json,8,Estonia,EST,1
OCR-D437919.json,8,Belarus,BLR,1
OCR-D437919.json,8,Bulgaria,BGR,1
OCR-D437919.json,8,Slovenia,SVN,1
OCR-D437919.json,8,Kazakhstan,KAZ,1
OCR-D437919.json,8,Azerbaijan,AZE,1
OCR-D437919.json,12,Armenia,ARM,1
OCR-D437919.json,12,Belarus,BLR,1
OCR-D437919.json,12,Azerbaijan,AZE,1
OCR-D437919.json,12,Bulgaria,BGR,1
OCR-D437919.json,20,Armenia,ARM,1
OCR-D437919.json,20,Croatia,HRV,1
OCR-D437919.json,20,Georgia,GEO,1
OCR-D437919.json,20,Czechia,CZE,1
OCR-D437919.json,20,Estonia,EST,1
OCR-D437919.json,20,Belarus,BLR,1
OCR-D437919.json,20,Bulgaria,BGR,1
OCR-D437919.json,20,Azerbaijan,AZE,1
OCR-D437919.json,34,Armenia,ARM,1
OCR-D437919.json,39,Armenia,ARM,1
OCR-D437919.json,39,Croatia,HRV,1
OCR-D437919.json,39,Czechia,CZE,1
OCR-D437919.json,39,Estonia,EST,1
OCR-D437919.json,39,Belarus,BLR,1
OCR-D437919.json,39,Bulgaria,BGR,1
OCR-D437919.json,39,Azerbaijan,AZE,1
OCR-D437919.json,41,Russia,,1
OCR-D437919.json,46,United Kingdom,GBR,1
OCR-D437919.json,46,Morocco,MAR,1
OCR-D437919.json,46,Russia,,1
OCR-D437919.json,47,Russia,,1
OCR-D31178056.json,1,Senegal,SEN,1
OCR-D31178056.json,1,Rwanda,RWA,1
OCR-D31178056.json,1,Burkina Faso,BFA,1
OCR-D31178056.json,5,Senegal,SEN,1
OCR-D31178056.json,5,Rwanda,RWA,1
OCR-D31178056.json,5,Burkina Faso,BFA,1
OCR-D31178056.json,6,Kenya,KEN,1
OCR-D31178056.json,15,Senegal,SEN,1
OCR-D31178056.json,15,Rwanda,RWA,1
OCR-D31178056.json,15,Burkina Faso,BFA,1
OCR-D31178056.json,16,Senegal,SEN,1
OCR-D31178056.json,16,Rwanda,RWA,1
OCR-D31178056.json,16,Burkina Faso,BFA,1
OCR-D31178056.json,17,Senegal,SEN,1
OCR-D31178056.json,17,Rwanda,RWA,1
OCR-D31178056.json,17,Burkina Faso,BFA,1
OCR-D31178056.json,19,Senegal,SEN,1
OCR-D31178056.json,19,Rwanda,RWA,1
OCR-D31178056.json,19,Burkina Faso,BFA,1
OCR-D31178056.json,20,Senegal,SEN,1
OCR-D31178056.json,20,Rwanda,RWA,1
OCR-D31178056.json,20,Burkina Faso,BFA,1
OCR-D31178056.json,21,Senegal,SEN,1
OCR-D31178056.json,21,Rwanda,RWA,1
OCR-D31178056.json,22,Senegal,SEN,1
OCR-D31178056.json,22,Rwanda,RWA,1
OCR-D31178056.json,22,Burkina Faso,BFA,1
OCR-D31178056.json,23,Senegal,SEN,1
OCR-D31178056.json,23,Rwanda,RWA,1
OCR-D31178056.json,23,Burkina Faso,BFA,1
OCR-D31178056.json,26,Senegal,SEN,1
OCR-D31178056.json,26,Rwanda,RWA,1
OCR-D31178056.json,26,Burkina Faso,BFA,1
OCR-D31178056.json,28,Brazil,BRA,1
OCR-D31178056.json,29,Rwanda,RWA,1
OCR-D31178056.json,30,Rwanda,RWA,1
OCR-D31178056.json,37,Rwanda,RWA,1
OCR-D31178056.json,37,Thailand,THA,1
OCR-D17386101.json,9,China,CHN,1
OCR-D17386101.json,11,United States,USA,1
OCR-D17386101.json,19,China,CHN,1
OCR-D17386101.json,20,Taiwan,,1
OCR-D17386101.json,20,Hong Kong,HKG,1
OCR-D17386101.json,20,Macao,MAC,1
OCR-D17386101.json,20,China,CHN,1
OCR-D17386101.json,29,China,CHN,1
OCR-D17386101.json,41,Malaysia,MYS,1
OCR-D17386101.json,41,China,CHN,1
OCR-D17386101.json,56,China,CHN,1
OCR-D17386101.json,57,India,IND,1
OCR-D14985485.json,5,China,CHN,1
OCR-D14985485.json,6,South Africa,ZAF,1
OCR-D14985485.json,7,United States,USA,1
OCR-D14985485.json,10,China,CHN,1
OCR-D14985485.json,11,United Kingdom,GBR,1
OCR-D14985485.json,11,Germany,DEU,1
OCR-D14985485.json,11,India,IND,1
OCR-D14985485.json,11,China,CHN,1
OCR-D14985485.json,12,India,IND,1
OCR-D14985485.json,12,China,CHN,1
OCR-D14985485.json,18,India,IND,1
OCR-D14985485.json,19,United States,USA,1
OCR-D14985485.json,22,Mexico,MEX,1
OCR-D14985485.json,22,United States,USA,1
OCR-D14985485.json,23,Russia,,1
OCR-D14985485.json,24,China,CHN,1
OCR-D14985485.json,26,Mexico,MEX,1
OCR-D14985485.json,27,Morocco,MAR,1
OCR-D697278.json,1,United States,USA,1
OCR-D697278.json,9,Chile,CHL,1
OCR-D697278.json,9,United States,USA,1
OCR-D697278.json,13,Japan,JPN,1
OCR-D697278.json,13,United States,USA,1
OCR-D697278.json,13,China,CHN,1
OCR-D697278.json,14,Japan,JPN,1
OCR-D697278.json,14,United States,USA,1
OCR-D697278.json,14,China,CHN,1
OCR-D697278.json,16,United States,USA,1
OCR-D697278.json,16,Hong Kong,HKG,1
OCR-D697278.json,16,China,CHN,1
OCR-D697278.json,17,United States,USA,1
OCR-D697278.json,19,Japan,JPN,1
OCR-D697278.json,19,United States,USA,1
OCR-D697278.json,19,China,CHN,1
OCR-D697278.json,20,Japan,JPN,1
OCR-D697278.json,20,United States,USA,1
OCR-D697278.json,21,Japan,JPN,1
OCR-D697278.json,21,United States,USA,1
OCR-D697278.json,21,China,CHN,1
OCR-D697278.json,22,Japan,JPN,1
OCR-D697278.json,22,United States,USA,1
OCR-D697278.json,22,China,CHN,1
OCR-D697278.json,23,Japan,JPN,1
OCR-D697278.json,23,United States,USA,1
OCR-D697278.json,23,China,CHN,1
OCR-D697278.json,24,Japan,JPN,1
OCR-D697278.json,24,United States,USA,1
OCR-D697278.json,24,China,CHN,1
OCR-D697278.json,25,Japan,JPN,1
OCR-D697278.json,25,United States,USA,1
OCR-D697278.json,27,United States,USA,1
OCR-D697278.json,28,Soviet Union (former),,1
OCR-D697278.json,28,Japan,JPN,1
OCR-D697278.json,28,United States,USA,1
OCR-D697278.json,28,China,CHN,1
OCR-D697278.json,29,Japan,JPN,1
OCR-D697278.json,29,United States,USA,1
OCR-D697278.json,33,Taiwan,,1
OCR-D697278.json,33,Hong Kong,HKG,1
OCR-D697278.json,33,China,CHN,1
OCR-D697278.json,35,Japan,JPN,1
OCR-D697278.json,39,Japan,JPN,1
OCR-D697278.json,39,United States,USA,1
OCR-D697278.json,40,United States,USA,1
OCR-D697278.json,41,United States,USA,1
OCR-D697278.json,41,China,CHN,1
OCR-D697278.json,42,Japan,JPN,1
OCR-D697278.json,42,United States,USA,1
OCR-D697278.json,42,China,CHN,1
OCR-D697278.json,43,Japan,JPN,1
OCR-D697278.json,43,United States,USA,1
OCR-D697278.json,43,China,CHN,1
OCR-D697278.json,44,Japan,JPN,1
OCR-D697278.json,44,United States,USA,1
OCR-D697278.json,44,China,CHN,1
OCR-D697278.json,45,Japan,JPN,1
OCR-D697278.json,45,United States,USA,1
OCR-D697278.json,45,China,CHN,1
OCR-D697278.json,46,Japan,JPN,1
OCR-D697278.json,46,United States,USA,1
OCR-D697278.json,46,China,CHN,1
OCR-D697278.json,47,Japan,JPN,1
OCR-D697278.json,47,United States,USA,1
OCR-D697278.json,47,China,CHN,1
OCR-D697278.json,48,United States,USA,1
OCR-D697278.json,49,Japan,JPN,1
OCR-D697278.json,49,United States,USA,1
OCR-D697278.json,49,China,CHN,1
OCR-D697278.json,50,United States,USA,1
OCR-D697278.json,50,China,CHN,1
OCR-D697278.json,51,Japan,JPN,1
OCR-D697278.json,51,United States,USA,1
OCR-D697278.json,51,China,CHN,1
OCR-D697278.json,52,Japan,JPN,1
OCR-D697278.json,52,United States,USA,1
OCR-D697278.json,52,China,CHN,1
OCR-D697278.json,53,Japan,JPN,1
OCR-D697278.json,53,United States,USA,1
OCR-D697278.json,53,China,CHN,1
OCR-D697278.json,54,Japan,JPN,1
OCR-D697278.json,54,United States,USA,1
OCR-D697278.json,54,China,CHN,1
OCR-D697278.json,55,Japan,JPN,1
OCR-D697278.json,55,United States,USA,1
OCR-D697278.json,55,China,CHN,1
OCR-D697278.json,56,Japan,JPN,1
OCR-D697278.json,56,United States,USA,1
OCR-D697278.json,56,China,CHN,1
OCR-D697278.json,57,Japan,JPN,1
OCR-D697278.json,57,United States,USA,1
OCR-D697278.json,57,China,CHN,1
OCR-D697278.json,58,United States,USA,1
OCR-D697278.json,58,China,CHN,1
OCR-D697278.json,60,Canada,CAN,1
OCR-D697278.json,61,United States,USA,1
OCR-D697278.json,62,Taiwan,,1
OCR-D697278.json,62,Japan,JPN,1
OCR-D697278.json,62,Hong Kong,HKG,1
OCR-D697278.json,62,China,CHN,1
OCR-D697278.json,65,United States,USA,1
OCR-D697278.json,71,Ireland,IRL,1
OCR-D697278.json,74,Bulgaria,BGR,1
OCR-D10354641.json,1,United States,USA,1
OCR-D10354641.json,3,United Kingdom,GBR,1
OCR-D10354641.json,3,United States,USA,1
OCR-D10354641.json,5,United Kingdom,GBR,1
OCR-D10354641.json,5,United States,USA,1
OCR-D10354641.json,6,Japan,JPN,1
OCR-D10354641.json,6,United States,USA,1
OCR-D10354641.json,6,Canada,CAN,1
OCR-D10354641.json,7,United States,USA,1
OCR-D10354641.json,8,United States,USA,1
OCR-D10354641.json,9,Japan,JPN,1
OCR-D10354641.json,9,Australia,AUS,1
OCR-D10354641.json,9,United States,USA,1
OCR-D10354641.json,9,South Korea,,1
OCR-D10354641.json,9,Canada,CAN,1
OCR-D10354641.json,9,China,CHN,1
OCR-D10354641.json,10,Australia,AUS,1
OCR-D10354641.json,10,Japan,JPN,1
OCR-D10354641.json,10,Canada,CAN,1
OCR-D10354641.json,12,United States,USA,1
OCR-D10354641.json,13,United States,USA,1
OCR-D10354641.json,14,United States,USA,1
OCR-D10354641.json,17,United States,USA,1
OCR-D10354641.json,18,St. Pierre and Miquelon,,1
OCR-D10354641.json,18,Colombia,COL,1
OCR-D10354641.json,19,United States,USA,1
OCR-D10354641.json,20,Canada,CAN,1
OCR-D10354641.json,22,St. Pierre and Miquelon,,1
OCR-D10354641.json,25,Argentina,ARG,1
OCR-D10354641.json,25,Ecuador,ECU,1
OCR-D10354641.json,25,Brazil,BRA,1
OCR-D10354641.json,25,Mexico,MEX,1
OCR-D10354641.json,25,Chile,CHL,1
OCR-D10354641.json,25,Colombia,COL,1
OCR-D10354641.json,27,Bangladesh,BGD,1
OCR-D10354641.json,27,Saudi Arabia,SAU,1
OCR-D10354641.json,27,Singapore,SGP,1
OCR-D10354641.json,27,United States,USA,1
OCR-D10354641.json,27,Philippines,PHL,1
OCR-D10354641.json,27,India,IND,1
OCR-D10354641.json,27,Nepal,NPL,1
OCR-D10354641.json,27,Taiwan,,1
OCR-D10354641.json,27,South Korea,,1
OCR-D10354641.json,27,Sri Lanka,LKA,1
OCR-D10354641.json,27,Indonesia,IDN,1
OCR-D10354641.json,27,Malaysia,MYS,1
OCR-D10354641.json,27,China,CHN,1
OCR-D10354641.json,28,Hong Kong,HKG,1
OCR-D10354641.json,29,Japan,JPN,1
OCR-D10354641.json,29,United States,USA,1
OCR-D10354641.json,30,Greece,GRC,1
OCR-D10354641.json,30,Pakistan,PAK,1
OCR-D10354641.json,30,United States,USA,1
OCR-D10354641.json,30,India,IND,1
OCR-D10354641.json,30,Mexico,MEX,1
OCR-D10354641.json,30,Spain,ESP,1
OCR-D10354641.json,30,Italy,ITA,1
OCR-D10354641.json,30,Guatemala,GTM,1
OCR-D10354641.json,30,El Salvador,SLV,1
OCR-D10354641.json,30,Honduras,HND,1
OCR-D10354641.json,30,Malaysia,MYS,1
OCR-D10354641.json,30,Tanzania,,1
OCR-D10354641.json,32,Japan,JPN,1
OCR-D10354641.json,32,Vietnam,,1
OCR-D10354641.json,32,Australia,AUS,1
OCR-D10354641.json,32,United States,USA,1
OCR-D10354641.json,32,Brazil,BRA,1
OCR-D10354641.json,32,Nepal,NPL,1
OCR-D10354641.json,32,Philippines,PHL,1
OCR-D10354641.json,32,Canada,CAN,1
OCR-D10354641.json,33,Philippines,PHL,1
OCR-D10354641.json,35,United States,USA,1
OCR-D10354641.json,35,Nepal,NPL,1
OCR-D10354641.json,35,Sweden,SWE,1
OCR-D10354641.json,35,Mexico,MEX,1
OCR-D10354641.json,35,United Kingdom,GBR,1
OCR-D10354641.json,35,Canada,CAN,1
OCR-D10354641.json,35,China,CHN,1
OCR-D10354641.json,36,Australia,AUS,1
OCR-D10354641.json,36,China,CHN,1
OCR-D10354641.json,37,Italy,ITA,1
OCR-D10354641.json,37,Nepal,NPL,1
OCR-D10354641.json,37,India,IND,1
OCR-D10354641.json,37,China,CHN,1
OCR-D10354641.json,38,Chile,CHL,1
OCR-D10354641.json,38,Colombia,COL,1
OCR-D10354641.json,39,United States,USA,1
OCR-D10354641.json,40,United States,USA,1
OCR-D10354641.json,42,United States,USA,1
OCR-D10354641.json,43,United States,USA,1
OCR-D10354641.json,44,Germany,DEU,1
OCR-D10354641.json,45,United States,USA,1
OCR-D10354641.json,50,Switzerland,CHE,1
OCR-D10354641.json,50,Sweden,SWE,1
OCR-D10354641.json,51,Mexico,MEX,1
OCR-D10354641.json,52,Brazil,BRA,1
OCR-D10354641.json,53,China,CHN,1
